Свободни места за четвърти етап на класиране към 15:30 ч. на 03.08.2022 г.,,,,,,
№,Име,Код на паралелката,Име на паралелката,На общо основание,Младежи ,Девойки
202,"93-то Средно училище ""Александър Теодоров - Балан""",2876,"Обществени науки - РЕ интензивно, АЕ",0,-,-
203,"93-то Средно училище ""Александър Теодоров - Балан""",2878,"Обществени науки - АЕ интензивно, РЕ",4,-,-
204,"93-то Средно училище ""Александър Теодоров - Балан""",4038,"Софтуерни и хардуерни науки - РЕ интензивно, АЕ",0,-,-
205,"94 СРЕДНО УЧИЛИЩЕ ""Димитър Страшимиров""",2525,Предприемачески,7,-,-
206,"94 СРЕДНО УЧИЛИЩЕ ""Димитър Страшимиров""",2535,Производство на облекло от текстил,4,-,-
207,"94 СРЕДНО УЧИЛИЩЕ ""Димитър Страшимиров""",2539,Логистика на товари и услуги - куриер /АЕ/,2,-,-
208,"95 СУ ""Проф. Иван Шишманов""",2354,"Чужди езици - АЕ интензивно, РЕ",0,-,-
209,"95 СУ ""Проф. Иван Шишманов""",2359,"Чужди езици - РЕ интензивно, АЕ",8,-,-
210,"95 СУ ""Проф. Иван Шишманов""",2459,"Природни науки - АЕ интензивно, РЕ",11,-,-
211,"95 СУ ""Проф. Иван Шишманов""",3354,"Предприемачески - АЕ интензивно, РЕ",0,-,-
